,OVR,Age,PAC,SHO,PAS,DRI,DEF,PHY,Position_Performance_Index,Value_Score
OVR,1.0,0.3843510745215445,0.2069457414011796,0.4761322555277708,0.7194006385881362,0.6738972814817636,0.3495735384597525,0.5191598294095358,0.8874450705767737,-0.09658550733085612
Age,0.3843510745215445,1.0,-0.1937104959034309,0.20994828233250323,0.29799990820212835,0.1536974934820579,0.24109655881075462,0.4251883230762356,0.32815008769527393,-0.06664233828368038
PAC,0.2069457414011796,-0.1937104959034309,1.0,0.3458723083426406,0.26982582237417035,0.5060255562862371,-0.2818919947319351,-0.16160203383795674,0.2395494968426609,0.10031764174140625
SHO,0.4761322555277708,0.20994828233250323,0.3458723083426406,1.0,0.6661420668003334,0.7737321964716094,-0.39519191444763113,0.008239142105426788,0.5022400294655832,0.12476300024453638
PAS,0.7194006385881362,0.29799990820212835,0.26982582237417035,0.6661420668003334,1.0,0.8534256980666445,0.20229676003308586,0.15437834503036804,0.6093306937360802,-0.1318969804541772
DRI,0.6738972814817636,0.1536974934820579,0.5060255562862371,0.7737321964716094,0.8534256980666445,1.0,-0.09472916146051891,0.01536750240876662,0.6068496601833591,-0.047350566061498504
DEF,0.3495735384597525,0.24109655881075462,-0.2818919947319351,-0.39519191444763113,0.20229676003308586,-0.09472916146051891,1.0,0.5132257454556692,0.1518541962897502,-0.36958101626305645
PHY,0.5191598294095358,0.4251883230762356,-0.16160203383795674,0.008239142105426788,0.15437834503036804,0.01536750240876662,0.5132257454556692,1.0,0.4093042601796999,-0.16113812476278447
Position_Performance_Index,0.8874450705767737,0.32815008769527393,0.2395494968426609,0.5022400294655832,0.6093306937360802,0.6068496601833591,0.1518541962897502,0.4093042601796999,1.0,0.37075407605047894
Value_Score,-0.09658550733085612,-0.06664233828368038,0.10031764174140625,0.12476300024453638,-0.1318969804541772,-0.047350566061498504,-0.36958101626305645,-0.16113812476278447,0.37075407605047894,1.0
